song_id,valence,arousal,output
1,0.31,0.3,0
2,0.35,0.3299999999999999,0
3,0.5700000000000001,0.55,5
4,0.44,0.53,3
5,0.58,0.64,5
6,0.32,0.48,0
7,0.4,0.47,2
8,0.55,0.58,5
9,0.32,0.4,0
10,0.44,0.6,3
11,0.48,0.39,2
12,0.5900000000000001,0.43,4
13,0.54,0.65,3
14,0.6599999999999999,0.63,5
15,0.4,0.48,2
16,0.53,0.39,2
17,0.79,0.47,4
18,0.47,0.38,2
19,0.42,0.3299999999999999,2
20,0.48,0.65,3
21,0.6599999999999999,0.53,5
22,0.73,0.54,5
23,0.4599999999999999,0.48,2
24,0.43,0.51,3
25,0.61,0.51,5
26,0.67,0.35,4
27,0.39,0.49,0
28,0.51,0.21,2
29,0.53,0.4,2
30,0.44,0.44,2
31,0.45,0.48,2
32,0.39,0.53,1
33,0.36,0.48,0
34,0.36,0.32,0
35,0.4599999999999999,0.51,3
36,0.43,0.51,3
37,0.31,0.3299999999999999,0
38,0.58,0.54,5
39,0.64,0.58,5
40,0.3299999999999999,0.3399999999999999,0
41,0.53,0.41,2
42,0.43,0.64,3
43,0.62,0.39,4
44,0.36,0.49,0
45,0.64,0.58,5
46,0.72,0.6799999999999999,5
47,0.38,0.49,0
48,0.32,0.39,0
49,0.44,0.36,2
50,0.5900000000000001,0.37,4
51,0.67,0.5599999999999999,5
52,0.58,0.5599999999999999,5
53,0.3,0.43,0
54,0.43,0.32,2
55,0.42,0.29,2
56,0.3399999999999999,0.39,0
57,0.55,0.55,5
58,0.6,0.51,5
59,0.61,0.39,4
60,0.29,0.35,0
61,0.61,0.58,5
62,0.5900000000000001,0.5599999999999999,5
63,0.71,0.62,5
64,0.54,0.5599999999999999,3
65,0.53,0.26,2
66,0.67,0.55,5
67,0.45,0.48,2
68,0.43,0.42,2
69,0.45,0.55,3
70,0.58,0.47,4
71,0.72,0.6,5
72,0.3299999999999999,0.4599999999999999,0
73,0.6799999999999999,0.6900000000000001,5
74,0.43,0.27,2
75,0.43,0.41,2
76,0.3399999999999999,0.2799999999999999,0
77,0.65,0.54,5
78,0.5599999999999999,0.3299999999999999,4
79,0.61,0.3299999999999999,4
80,0.65,0.5,5
81,0.4599999999999999,0.3299999999999999,2
82,0.6,0.48,4
83,0.45,0.42,2
84,0.44,0.45,2
85,0.44,0.2799999999999999,2
86,0.53,0.53,3
87,0.6799999999999999,0.64,5
88,0.54,0.38,2
89,0.48,0.5700000000000001,3
90,0.8400000000000001,0.78,5
91,0.44,0.39,2
92,0.39,0.5,1
93,0.49,0.4599999999999999,2
94,0.43,0.32,2
95,0.38,0.5,1
96,0.31,0.39,0
97,0.55,0.4599999999999999,4
98,0.61,0.62,5
99,0.37,0.2799999999999999,0
100,0.45,0.42,2
101,0.51,0.61,3
102,0.3,0.53,1
103,0.36,0.4,0
104,0.42,0.6,3
105,0.3299999999999999,0.42,0
106,0.61,0.49,4
107,0.2799999999999999,0.22,0
108,0.54,0.6,3
109,0.37,0.35,0
110,0.6799999999999999,0.62,5
111,0.43,0.58,3
112,0.38,0.24,0
113,0.42,0.45,2
114,0.4599999999999999,0.48,2
115,0.4,0.49,2
116,0.3399999999999999,0.47,0
117,0.31,0.54,1
118,0.24,0.35,0
119,0.47,0.5,3
120,0.3399999999999999,0.31,0
121,0.5,0.54,3
122,0.4,0.45,2
123,0.44,0.5599999999999999,3
124,0.39,0.45,0
125,0.42,0.41,2
126,0.36,0.54,1
127,0.64,0.67,5
128,0.4,0.62,3
129,0.21,0.36,0
130,0.38,0.31,0
131,0.35,0.35,0
132,0.63,0.35,4
133,0.37,0.4599999999999999,0
134,0.36,0.45,0
135,0.41,0.29,2
136,0.31,0.42,0
137,0.27,0.3299999999999999,0
138,0.3299999999999999,0.3399999999999999,0
139,0.24,0.2799999999999999,0
140,0.3,0.5,1
141,0.21,0.36,0
142,0.38,0.5,1
143,0.4599999999999999,0.22,2
144,0.4,0.38,2
145,0.37,0.43,0
146,0.24,0.39,0
147,0.48,0.5599999999999999,3
148,0.2799999999999999,0.37,0
149,0.52,0.6,3
150,0.48,0.5900000000000001,3
151,0.37,0.25,0
152,0.22,0.37,0
153,0.36,0.3399999999999999,0
154,0.49,0.4599999999999999,2
155,0.37,0.4,0
156,0.25,0.37,0
157,0.4,0.3299999999999999,2
158,0.65,0.71,5
159,0.2799999999999999,0.31,0
160,0.51,0.63,3
161,0.58,0.61,5
162,0.41,0.3,2
163,0.27,0.47,0
164,0.42,0.27,2
165,0.43,0.45,2
166,0.22,0.2799999999999999,0
167,0.19,0.3299999999999999,0
168,0.53,0.5700000000000001,3
169,0.37,0.48,0
170,0.4599999999999999,0.52,3
171,0.35,0.48,0
172,0.36,0.22,0
173,0.3,0.45,0
174,0.2299999999999999,0.26,0
175,0.48,0.48,2
176,0.48,0.65,3
177,0.31,0.4599999999999999,0
178,0.42,0.55,3
179,0.31,0.49,0
180,0.4599999999999999,0.54,3
181,0.26,0.25,0
182,0.36,0.41,0
183,0.32,0.26,0
184,0.45,0.53,3
185,0.35,0.48,0
186,0.29,0.4,0
187,0.24,0.38,0
188,0.41,0.3399999999999999,2
189,0.43,0.3399999999999999,2
190,0.38,0.43,0
191,0.22,0.35,0
192,0.55,0.5700000000000001,5
193,0.37,0.42,0
194,0.49,0.5,3
195,0.31,0.35,0
196,0.35,0.4,0
197,0.48,0.48,2
198,0.41,0.5599999999999999,3
199,0.25,0.27,0
200,0.47,0.45,2
201,0.35,0.39,0
202,0.3,0.37,0
203,0.25,0.24,0
204,0.42,0.39,2
205,0.3,0.4599999999999999,0
206,0.2299999999999999,0.3299999999999999,0
207,0.64,0.6599999999999999,5
208,0.41,0.4599999999999999,2
209,0.35,0.47,0
210,0.72,0.41,4
211,0.43,0.42,2
212,0.42,0.61,3
213,0.49,0.32,2
214,0.39,0.45,0
215,0.3399999999999999,0.37,0
216,0.3399999999999999,0.36,0
217,0.6599999999999999,0.25,4
218,0.53,0.74,3
219,0.76,0.6900000000000001,5
220,0.43,0.43,2
221,0.53,0.36,2
222,0.5599999999999999,0.6900000000000001,5
223,0.53,0.55,3
224,0.45,0.64,3
225,0.36,0.48,0
226,0.43,0.48,2
227,0.61,0.71,5
228,0.5900000000000001,0.64,5
229,0.54,0.72,3
230,0.77,0.6,5
231,0.53,0.55,3
232,0.61,0.53,5
233,0.55,0.51,5
234,0.36,0.47,0
235,0.42,0.3299999999999999,2
236,0.54,0.7,3
237,0.32,0.42,0
238,0.44,0.52,3
239,0.35,0.51,1
240,0.5700000000000001,0.6900000000000001,5
241,0.35,0.52,1
242,0.5700000000000001,0.67,5
243,0.21,0.39,0
244,0.73,0.74,5
245,0.63,0.42,4
246,0.55,0.65,5
247,0.5900000000000001,0.5700000000000001,5
248,0.31,0.36,0
249,0.4,0.54,3
250,0.2799999999999999,0.43,0
251,0.6799999999999999,0.45,4
252,0.32,0.37,0
253,0.6599999999999999,0.7,5
254,0.7,0.64,5
255,0.38,0.4599999999999999,0
256,0.64,0.6799999999999999,5
257,0.5700000000000001,0.67,5
258,0.61,0.6799999999999999,5
259,0.43,0.6599999999999999,3
